airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
EFKK,KOK,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI,Matched,Finland
EFKS,KAO,Kuusamo Airport,Kuusamo,FI,Matched,Finland
EFKU,KUO,Kuopio Airport,Kuopio / Siilinjärvi,FI,Matched,Finland
EFLP,LPP,Lappeenranta Airport,Lappeenranta,FI,Matched,Finland
EFMA,MHQ,Mariehamn Airport,Mariehamn,FI,Matched,Finland
EFMI,MIK,Mikkeli Airport,Mikkeli,FI,Matched,Finland
EFOU,OUL,Oulu Airport,Oulu / Oulunsalo,FI,Matched,Finland
EFPO,POR,Pori Airport,Pori,FI,Matched,Finland
EFPR,,Helsinki East-Redstone Aerodrome,Helsinki (Pyhtää),FI,Matched,Finland
EFSA,SVL,Savonlinna Airport,Savonlinna,FI,Matched,Finland
EFSI,SJY,Seinäjoki Airport,Seinäjoki / Ilmajoki,FI,Matched,Finland
EFTP,TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,Matched,Finland
EFTU,TKU,Turku Airport,Turku,FI,Matched,Finland
EFUT,UTI,Utti Air Base,Utti / Valkeala,FI,Matched,Finland
EFVA,VAA,Vaasa Airport,Vaasa,FI,Matched,Finland
EFVR,VRK,Varkaus Airport,Varkaus / Joroinen,FI,Matched,Finland
EFYL,YLI,Ylivieska Airfield,Ylivieska,FI,Matched,Finland
EG-0003,,Bilbeis 2 Airfield,Bilbeis,EG,Matched,Egypt
EGAA,BFS,Belfast International Airport,Belfast,GB,Matched,United Kingdom
EGAB,ENK,Enniskillen/St Angelo Airport,"Enniskillen, Fermanagh and Omagh",GB,Matched,United Kingdom
EGAC,BHD,George Best Belfast City Airport,Belfast,GB,Matched,United Kingdom
EGAE,LDY,City of Derry Airport,"Derry, Derry and Strabane",GB,Matched,United Kingdom
EGBB,BHX,Birmingham Airport,"Birmingham, West Midlands",GB,Matched,United Kingdom
EGBE,,Coventry Airport,"Coventry, West Midlands",GB,Matched,United Kingdom
EGBJ,GLO,Gloucestershire Airport,"Staverton, Gloucestershire",GB,Matched,United Kingdom
EGBN,NQT,Nottingham City Airport,"Nottingham, Nottinghamshire",GB,Matched,United Kingdom
EGCC,MAN,Manchester Airport,"Manchester, Greater Manchester",GB,Matched,United Kingdom
EGDC,,Royal Marines Base Chivenor,Chivenor,GB,Matched,United Kingdom
EGDM,,MoD Boscombe Down,"Salisbury, Wiltshire",GB,Matched,United Kingdom
EGDR,,RNAS Culdrose,Helston,GB,Matched,United Kingdom
EGDX,,MOD St Athan,"St Athan, Vale of Glamorgan",GB,Matched,United Kingdom
EGDY,YEO,RNAS Yeovilton,"Yeovil, Somerset",GB,Matched,United Kingdom
EGEC,CAL,Campbeltown Airport,Campbeltown,GB,Matched,United Kingdom
EGED,EOI,Eday Airport,Eday,GB,Matched,United Kingdom
EGFE,HAW,Haverfordwest Airport,Haverfordwest,GB,Matched,United Kingdom
EGFF,CWL,Cardiff International Airport,Cardiff,GB,Matched,United Kingdom
EGFH,SWS,Swansea Airport,Swansea,GB,Matched,United Kingdom
EGGD,BRS,Bristol Airport,Bristol,GB,Matched,United Kingdom
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,GB,Matched,United Kingdom
EGGW,LTN,London Luton Airport,"Luton, Luton",GB,Matched,United Kingdom
EGHH,BOH,Bournemouth Airport,Bournemouth,GB,Matched,United Kingdom
EGHI,SOU,Southampton Airport,Southampton,GB,Matched,United Kingdom
EGHL,,Lasham Airfield,"Alton, Hampshire",GB,Matched,United Kingdom
EGHQ,NQY,Cornwall Airport Newquay,Newquay,GB,Matched,United Kingdom
EGJA,ACI,Alderney Airport,Saint Anne,GG,Matched,Unknown
EGJB,GCI,Guernsey Airport,Saint Peter Port,GG,Matched,Unknown
EGJJ,JER,Jersey Airport,St. Peter,JE,Matched,Unknown
EGKA,ESH,Brighton City Airport,"Brighton, East Sussex",GB,Matched,United Kingdom
EGKB,BQH,London Biggin Hill Airport,London,GB,Matched,United Kingdom
EGKK,LGW,London Gatwick Airport,London,GB,Matched,United Kingdom
EGLC,LCY,London City Airport,London,GB,Matched,United Kingdom
EGLF,FAB,Farnborough Airport,"Farnborough, Hampshire",GB,Matched,United Kingdom
EGLK,BBS,Blackbushe Airport,"Camberley, Surrey",GB,Matched,United Kingdom
EGLL,LHR,London Heathrow Airport,London,GB,Matched,United Kingdom
EGMC,SEN,London Southend Airport,"Southend-on-Sea, Essex",GB,Matched,United Kingdom
EGMD,LYX,Lydd London Ashford Airport,"Romney Marsh, Kent",GB,Matched,United Kingdom
EGNC,CAX,Carlisle Lake District Airport,"Carlisle, Cumbria",GB,Matched,United Kingdom
EGNH,BLK,Blackpool Airport,Blackpool,GB,Matched,United Kingdom
EGNJ,HUY,Humberside Airport,"Grimsby, Lincolnshire",GB,Matched,United Kingdom
EGNL,BWF,Barrow Walney Island Airport,Barrow-in-Furness,GB,Matched,United Kingdom
EGNM,LBA,Leeds Bradford Airport,"Leeds, West Yorkshire",GB,Matched,United Kingdom
EGNO,WRT,Warton Aerodrome,Warton,GB,Matched,United Kingdom
