airport_icao,airport_iata,airport_name,airport_city,country_code,match_status
LKNA,,Náměšť Air Base,Sedlec,CZ,Matched
LKPD,PED,Pardubice Airport,Pardubice,CZ,Matched
LKPO,PRV,Přerov Air Base,Přerov,CZ,Matched
LKPR,PRG,Václav Havel Airport Prague,Prague,CZ,Matched
LKTB,BRQ,Brno-Tuřany Airport,Brno,CZ,Matched
LKVO,VOD,Vodochody Airport,Vodochody,CZ,Matched
LLBG,TLV,Ben Gurion International Airport,Tel Aviv,IL,Matched
LLEK,,Tel Nof Air Base,Rehovot,IL,Matched
LLER,ETM,Ramon International Airport,Eilat,IL,Matched
LLHA,HFA,Uri Michaeli Haifa International Airport,Haifa,IL,Matched
LLIB,RPN,Rosh Pina Airport,Rosh Pina,IL,Matched
LLMZ,MTZ,Bar Yehuda Airfield,Masada,IL,Matched
LLNV,VTM,Nevatim Air Base,Beersheba,IL,Matched
LLRD,,Ramat David Air Base,Haifa,IL,Matched
LLRM,,Ramon Air Base,Beersheba,IL,Matched
LMML,MLA,Malta International Airport,Valletta,MT,Matched
LOAN,,Wiener Neustadt East Airport,Wiener Neustadt,AT,Matched
LOWG,GRZ,Graz Airport,Feldkirchen bei Graz,AT,Matched
LOWI,INN,Innsbruck Airport,Innsbruck,AT,Matched
LOWK,KLU,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,Matched
LOWL,LNZ,Linz-Hörsching Airport,Linz,AT,Matched
LOWS,SZG,Salzburg Airport,Salzburg,AT,Matched
LOWW,VIE,Vienna International Airport,Vienna,AT,Matched
LOXZ,,Hinterstoisser Air Base,Zeltweg,AT,Matched
LPAR,,Alverca Air Base,Vila Franca de Xira,PT,Matched
LPAZ,SMA,Santa Maria Airport,Vila do Porto,PT,Matched
LPBG,BGC,Bragança Airport,Bragança,PT,Matched
LPBJ,BYJ,Beja Airport / Airbase,Beja,PT,Matched
LPBR,,Braga Municipal Aerodrome,Braga,PT,Matched
LPCB,,Aerodromo de Castelo Branco,Castelo Branco,PT,Matched
LPCO,,Aerodromo Municipal de Coimbra,Coimbra,PT,Matched
LPCS,CAT,Cascais Airport,Cascais,PT,Matched
LPEV,,Évora Airfield,Évora,PT,Matched
LPFR,FAO,Faro - Gago Coutinho International Airport,Faro,PT,Matched
LPMA,FNC,Cristiano Ronaldo International Airport,Funchal,PT,Matched
LPMR,,Monte Real Air Base,,PT,Matched
LPMT,,Montijo Air Base,Montijo,PT,Matched
LPOV,,Ovar Air Base,Ovar,PT,Matched
LPPD,PDL,João Paulo II Airport,Ponta Delgada,PT,Matched
LPPM,PRM,Portimão Airport,Portimão,PT,Matched
LPPR,OPO,Francisco de Sá Carneiro Airport,Porto,PT,Matched
LPPS,PXO,Porto Santo Airport,Vila Baleira,PT,Matched
LPPT,LIS,Lisbon Humberto Delgado Airport,Lisbon,PT,Matched
LPSO,,Aeródromo Municipal de Ponte de Sor,Ponte de Sor,PT,Matched
LPST,,Sintra Air Base,Sintra,PT,Matched
LPTN,,Tancos Airbase,Tancos,PT,Matched
LPVL,,Vilar de Luz Airfield,Maia,PT,Matched
LPVR,VRL,Vila Real Airport,Vila Real,PT,Matched
LPVZ,VSE,Aerodromo Goncalves Lobato (Viseu Airport),Viseu,PT,Matched
LQBK,BNX,Banja Luka International Airport,Mahovljani,BA,Matched
LQMO,OMO,Mostar International Airport,Mostar,BA,Matched
LQTZ,TZL,Tuzla International Airport,Dubrave Gornje,BA,Matched
LR79,,Ianca Airfield,Ianca,RO,Matched
LR80,,Feteşti Borcea Air Base,Borcea,RO,Matched
LR82,,Boboc Air Base,Boboc,RO,Matched
LRAR,ARW,Arad International Airport,Arad,RO,Matched
LRBC,BCM,Bacău George Enescu International  Airport,Bacău,RO,Matched
LRBM,BAY,Maramureș International Airport,Tăuții-Măgherăuș,RO,Matched
LRBS,BBU,Bucharest Băneasa Aurel Vlaicu International Airport,Bucharest,RO,Matched
LRCK,CND,Mihail Kogălniceanu International Airport,Constanța,RO,Matched
LRCL,CLJ,Avram Iancu Cluj International Airport,Cluj-Napoca,RO,Matched
LRCS,CSB,Caransebeş Airport,Caransebeş,RO,Matched
LRCT,,Câmpia Turzii Air Base,Câmpia Turzii,RO,Matched
LRCV,CRA,Craiova International Airport,Craiova,RO,Matched
LRIA,IAS,Iaşi International Airport,Iaşi,RO,Matched
LROD,OMR,Oradea International Airport,Oradea,RO,Matched
LROP,OTP,Bucharest Henri Coandă International Airport,Otopeni,RO,Matched
LROV,,,,,Unmatched
LRSB,SBZ,Sibiu International Airport,Sibiu,RO,Matched
LRSM,SUJ,Satu Mare International Airport,Satu Mare,RO,Matched
LRSV,SCV,Suceava Ștefan cel Mare International Airport,Suceava,RO,Matched
LRTC,TCE,Tulcea Danube Delta Airport,Mihail Kogălniceanu,RO,Matched
LRTM,TGM,Târgu Mureş Transilvania International Airport,Recea,RO,Matched
LRTR,TSR,Timișoara Traian Vuia International Airport,Timişoara,RO,Matched
LSGC,,Les Eplatures Airport,La Chaux-de-Fonds,CH,Matched
LSGG,GVA,Geneva International Airport,Geneva,CH,Matched
LSGS,SIR,Sion Airport,Sion,CH,Matched
LSMA,,Alpnach Air Base,Alpnach,CH,Matched
LSMD,,Dübendorf Air Base,Zurich,CH,Matched
LSME,EML,Emmen Air Base,Emmen,CH,Matched
LSMP,VIP,Payerne Air Base,Payerne,CH,Matched
LSZA,LUG,Lugano Airport,Agno,CH,Matched
LSZB,BRN,Bern Airport,Bern,CH,Matched
LSZG,,Grenchen Airfield,Grenchen,CH,Matched
LSZH,ZRH,Zürich Airport,Zurich,CH,Matched
LSZR,ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH,Matched
LSZS,SMV,Engadin Airport,Samedan,CH,Matched
LTAC,ESB,Esenboğa International Airport,Ankara,TR,Matched
LTAD,ANK,Etimesgut Air Base,Ankara,TR,Matched
LTAE,,Akıncı Air Base,Ankara,TR,Matched
LTAF,ADA,Adana Şakirpaşa Airport,Seyhan,TR,Matched
LTAG,UAB,İncirlik Air Base,Sarıçam,TR,Matched
LTAH,AFY,Afyon Air Base,Afyonkarahisar,TR,Matched
LTAI,AYT,Antalya International Airport,Antalya,TR,Matched
LTAL,KFS,Kastamonu Airport,Kastamonu,TR,Matched
LTAN,KYA,Konya Airport,Konya,TR,Matched
LTAS,ONQ,Zonguldak Çaycuma Airport,Zonguldak,TR,Matched
LTAT,MLX,Malatya Erhaç Airport,Malatya,TR,Matched
LTAV,,Sivrihisar Airport,Sivrihisar,TR,Matched
LTAW,TJK,Tokat Airport,Tokat,TR,Matched
LTAY,DNZ,Çardak Airport,Denizli,TR,Matched
LTBA,ISL,İstanbul Atatürk Airport,Istanbul(Bakırköy),TR,Matched
LTBF,BZI,Balıkesir Airport,Balıkesir,TR,Matched
LTBG,BDM,Bandırma Airport,Bandırma,TR,Matched
LTBH,CKZ,Çanakkale Airport,Çanakkale,TR,Matched
LTBI,ESK,Eskişehir Air Base,Eskişehir,TR,Matched
LTBJ,ADB,Adnan Menderes International Airport,Gaziemir,TR,Matched
LTBL,IGL,Çiğli Airbase,Çiğli,TR,Matched
LTBO,USQ,Uşak Airport,Uşak,TR,Matched
LTBQ,KCO,Cengiz Topel Airport,Kartepe,TR,Matched
LTBR,YEI,Bursa Yenişehir Airport,Yenişehir,TR,Matched
LTBS,DLM,Dalaman International Airport,Dalaman,TR,Matched
LTBT,,Akhisar Airport / Akhisar Air Base,Akhisar,TR,Matched
LTBU,TEQ,Tekirdağ Çorlu Airport,Çorlu,TR,Matched
LTBX,,İstanbul Samandıra Army Air Base,"Ümraniye, Istanbul",TR,Matched
LTBY,AOE,Hasan Polatkan Airport,Eskişehir,TR,Matched
LTCA,EZS,Elazığ Airport,Elazığ,TR,Matched
LTCB,OGU,Ordu–Giresun Airport,Ordu,TR,Matched
LTCC,DIY,Diyarbakır Airport,Diyarbakır,TR,Matched
LTCD,ERC,Erzincan Airport,Erzincan,TR,Matched
LTCE,ERZ,Erzurum International Airport,Erzurum,TR,Matched
LTCF,KSY,Kars Airport,Kars,TR,Matched
LTCG,TZX,Trabzon International Airport,Trabzon,TR,Matched
LTCI,VAN,Van Ferit Melen Airport,Van,TR,Matched
LTCK,MSR,Muş Airport,Muş,TR,Matched
LTCM,NOP,Sinop Airport,Sinop,TR,Matched
LTCN,KCM,Kahramanmaraş Airport,Kahramanmaraş,TR,Matched
LTCO,AJI,Ağrı Airport,Ağrı,TR,Matched
LTCT,IGD,Iğdır Airport,Iğdır,TR,Matched
LTCW,YKO,Hakkari Yüksekova Airport,Hakkari,TR,Matched
LTDA,HTY,Hatay Airport,Antakya,TR,Matched
LTFC,ISE,Süleyman Demirel International Airport,Isparta,TR,Matched
LTFD,EDO,Balıkesir Koca Seyit Airport,Edremit,TR,Matched
LTFE,BJV,Milas Bodrum International Airport,Bodrum,TR,Matched
LTFG,GZP,Gazipaşa-Alanya Airport,Gazipaşa,TR,Matched
LTFH,SZF,Samsun-Çarşamba Airport,Samsun,TR,Matched
LTFJ,SAW,Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",TR,Matched
LTFM,IST,İstanbul Airport,Istanbul,TR,Matched
LUCH,,Cahul International Airport,Cahul,MD,Matched
LUKK,RMO,Chişinău International Airport,Chişinău,MD,Matched
LWSK,SKP,Skopje International Airport,Ilinden,MK,Matched
LXGB,GIB,Gibraltar Airport,Gibraltar,GI,Matched
LY88,,,,,Unmatched
LYBE,BEG,Belgrade Nikola Tesla Airport,Belgrade,RS,Matched
LYBT,BJY,Batajnica Air Base,Zemun,RS,Matched
LYKV,KVO,Morava Airport,Kraljevo,RS,Matched
LYNI,INI,Niš Constantine the Great Airport,Niš,RS,Matched
LYPG,TGD,Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,ME,Matched
LYTV,TIV,Tivat Airport,Tivat,ME,Matched
LZIB,BTS,M. R. Štefánik Airport,Bratislava,SK,Matched
LZKZ,KSC,Košice International Airport,Košice,SK,Matched
LZMC,,Malacky/Kuchyňa Air Base,Kuchyňa,SK,Matched
LZPP,PZY,Piešťany Airport,Piešťany,SK,Matched
LZSL,SLD,Sliač Airport,Sliač,SK,Matched
LZTT,TAT,Poprad-Tatry Airport,Poprad,SK,Matched
LZZI,ILZ,Žilina-Dolný Hričov Airport,Dolný Hričov,SK,Matched
OEDF,DMM,King Fahd International Airport,Ad Dammam,SA,Matched
OEGT,URY,Gurayat Domestic Airport,Gurayat,SA,Matched
OEJB,,Jubail Airport,Jubail,SA,Matched
OEPA,AQI,Qaisumah–Hafar Al-Batin International Airport,Qaisumah,SA,Matched
OERM,,Ras Mishab Airport,Al Mishab,SA,Matched
OERR,RAE,Arar Domestic Airport,Arar,SA,Matched
OERT,,Ras Tanura Airport,Ras Tanura,SA,Matched
OETN,,Ras Tanajib Airport,As Saffaniyah,SA,Matched
OETR,TUI,Turaif Domestic Airport,Turaif,SA,Matched
OIAA,ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,Matched
OIAM,MRX,Mahshahr Airport,Mahshahr,IR,Matched
OIAW,AWZ,Qasem Soleimani International Airport,Ahvaz,IR,Matched
OITU,IMQ,Maku National Airport,Showt,IR,Matched
OJAI,AMM,Queen Alia International Airport,Amman,JO,Matched
OJAM,ADJ,Marka International (Amman Civil) Airport,Amman,JO,Matched
OJAQ,AQJ,King Hussein International Airport,Aqaba,JO,Matched
OJMS,,Muwaffaq Salti Air Base,Al Azraq,JO,Matched
OKAJ,XIJ,Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,KW,Matched
OKAS,,Ali Al Salem Air Base,Al Damaikhi,KW,Matched
OKBK,,,,,Unmatched
OLBA,BEY,Beirut Rafic Hariri International Airport,Beirut,LB,Matched
OLKA,KYE,Rene Mouawad Air Base,Tripoli,LB,Matched
OLRA,,Rayak Air Base,Rayak,LB,Matched
ORBI,BGW,Baghdad International Airport / New Al Muthana Air Base,Baghdad,IQ,Matched
ORMM,BSR,Basra International Airport,Basra,IQ,Matched
ORSU,ISU,Jalal Talabani International Airport,Sulaymaniyah,IQ,Matched
OS57,,Abu ad Duhur Air Base,Abu ad Duhur,SY,Matched
OS64,,An Nasiriyah Air Base,,SY,Matched
OS69,,Khalkhalah Air Base,Buraq,SY,Matched
OS70,,Al Qusayr Air Base,Al-Qusayr,SY,Matched
OSAP,ALP,Aleppo International Airport,Aleppo,SY,Matched
OSDI,DAM,Damascus International Airport,Damascus,SY,Matched
OSLK,LTK,Latakia International Airport,Latakia,SY,Matched
OSPR,PMS,Palmyra Airport,Tadmur,SY,Matched
RU-0001,,Levashovo Air Base,St. Petersburg,RU,Matched
RU-0015,,Khotilovo Air Base,Bologoye,RU,Matched
RU-0016,,Lipetsk Air Base,Lipetsk,RU,Matched
RU-0028,,Kaliningrad Chkalovsk Naval Air Base,Kaliningrad,RU,Matched
RU-0035,,,,,Unmatched
RU-0043,,Mius Airport,Sarov,RU,Matched
RU-0060,,Chernyakhovsk Naval Air Base,Chernyakhovsk,RU,Matched
RU-0064,,Ostrov Naval Air Base,Ostrov,RU,Matched
RU-0065,,Pribylovo Naval Air Base,Pribilovo,RU,Matched
RU-0128,,Budyonnovsk Air Base,Budyonnovsk,RU,Matched
RU-0152,,Mozdok Air Base,Mozdok,RU,Matched
RU-0217,,Sormovo Airfield,Nizhniy Novgorod,RU,Matched
RU-0240,,Seshcha Air Base,Dubrovka,RU,Matched
RU-0303,,Privolzhskiy Air Base,Astrakhan,RU,Matched
RU-0764,,Kubinka Air Base,Kubinka,RU,Matched
RU-3686,,Oreshkovo Airfield,Kaluga,RU,Matched
RU-3709,,Bagay-Baranovka Air Base,Sennoy,RU,Matched
RU-4609,,Shatalovo Air Base,Pochinok,RU,Matched
RU-5376,,Smuravyovo Air Base,Gdov,RU,Matched
RU-5672,,Ivanovo North Air Base,Ivanovo,RU,Matched
RU-6687,,Michurinsk Air Base,Michurinsk,RU,Matched
RU-8602,,Engels Air Base,Saratov,RU,Matched
RU-8709,,Dorokhovo Air Base,Bezhetsk,RU,Matched
RU-9345,,Krechevitsy Air Base,Novgorod,RU,Matched
RU-9937,,Rzhev Air Base,Rzhev,RU,Matched
RU-9942,,Shaykovka Air Base,Kirov,RU,Matched
TR-0004,,Temelli Air Base,Polatlı,TR,Matched
TR-0021,,Çukurhisar Airport,Alpu,TR,Matched
TR-0028,,Keşan Air Base,Keşan,TR,Matched
TR-0044,,,,,Unmatched
UA-0005,,Nizhyn Air Base,Nizhyn,UA,Matched
UA-0022,,Kacha Air Base,Kacha,UA,Matched
UA-0025,,Bila Tserkva Air Base,Bila Tserkva,UA,Matched
UA-0028,,Zhovtneve Air Base,Bolgrad,UA,Matched
UB13,,Khojaly Airport,Khojaly,AZ,Matched
UB14,,Kyurdamir Air Base,Kyurdamir,AZ,Matched
UBBG,GNJ,Ganja International Airport,Ganja,AZ,Matched
UBBN,NAJ,Nakhchivan International Airport,Nakhchivan,AZ,Matched
UBBQ,GBB,Gabala International Airport,Gabala,AZ,Matched
UBBY,ZTU,Zaqatala International Airport,Zaqatala,AZ,Matched
UDSG,LWN,Shirak International Airport,Gyumri,AM,Matched
UDYE,,Erebuni Airport,Yerevan,AM,Matched
UDYZ,EVN,Zvartnots International Airport,Yerevan,AM,Matched
UG0U,,Gudauta Air Base,Gudauta,GE,Matched
UG11,,Dollyar Air Base,Dollyar,AZ,Matched
UG22,,Tbilisi Marneuli Air Base,Tbilisi,GE,Matched
UG24,,Tbilisi Soganlug Air Base,Tbilisi,GE,Matched
UG27,,Vaziani Air Base,Gamarjveba 1,GE,Matched
UG28,,Bolshiye Shiraki Air Base,Bolshiye Shiraki,GE,Matched
UGAM,,Ambrolauri Airport,Ambrolauri,GE,Matched
UGKO,KUT,David the Builder Kutaisi International Airport,Kopitnari,GE,Matched
UGSB,BUS,Alexander Kartveli Batumi International Airport,Batumi,GE,Matched
UGSS,SUI,Vladislav Ardzinba Sukhum International Airport,Sukhumi,GE,Matched
UGTB,TBS,Tbilisi International Airport,Tbilisi,GE,Matched
UKFB,UKS,Sevastopol International Airport / Belbek Air Base,Sevastopol,UA,Matched
UKFF,SIP,Simferopol International Airport,Simferopol,UA,Matched
UKFI,,Saky Air Base,Novofedorivka,UA,Matched
UKKO,,Ozerne Air Base,Zhytomyr,UA,Matched
UKLH,HMJ,Khmelnytskyi Airport,Khmelnytskyi,UA,Matched
UKLI,IFO,Ivano-Frankivsk International Airport,Ivano-Frankivsk,UA,Matched
UKLL,LWO,Lviv International Airport,Lviv,UA,Matched
UKLR,RWN,Rivne International Airport,Rivne,UA,Matched
UKLU,UDJ,Uzhhorod International Airport,Uzhhorod,UA,Matched
UKOH,KHE,Kherson International Airport,Kherson,UA,Matched
UKON,NLV,Mykolaiv International Airport [CLOSED],Mykolaiv,UA,Matched
UKOO,ODS,Odesa International Airport,Odesa,UA,Matched
ULAA,ARH,Talagi Airport,Archangelsk,RU,Matched
ULAH,VKV,Vaskovo Airport,Arkhangelsk,RU,Matched
ULAK,,,,,Unmatched
ULBC,,,,,Unmatched
ULKK,KSZ,Kotlas Airport,Kotlas,RU,Matched
ULLI,LED,Pulkovo Airport,St. Petersburg,RU,Matched
ULLP,,Pushkin Airport,St. Petersburg,RU,Matched
ULMM,MMK,Emperor Nicholas II Murmansk Airport,Murmansk,RU,Matched
ULNR,,,,,Unmatched
ULOO,PKV,Princess Olga Pskov International Airport,Pskov,RU,Matched
ULPB,PES,Petrozavodsk Airport,Petrozavodsk,RU,Matched
ULPP,,Peski Airfield,Petrozavodsk,RU,Matched
ULWW,VGD,Vologda Airport,Vologda,RU,Matched
UMBB,BQT,Brest International Airport,Brest,BY,Matched
UMGG,GME,Gomel Airport,Gomel,BY,Matched
UMII,VTB,Vitebsk Vostochny Airport,Vitebsk,BY,Matched
UMKK,KGD,Khrabrovo Airport,Kaliningrad,RU,Matched
UMMA,,Baranavichi Air Base,Baranavichi,BY,Matched
UMMG,GNA,Hrodna Airport,Hrodna,BY,Matched
UMMS,MSQ,Minsk National Airport,Minsk,BY,Matched
UMNB,,Babruisk Air Base,Babruisk,BY,Matched
UMOO,MVQ,Mogilev Airport,Mogilev,BY,Matched
URKA,AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,Matched
URKG,GDZ,Gelendzhik Airport,Gelendzhik,RU,Matched
URKH,,,,,Unmatched
URKK,KRR,Krasnodar Pashkovsky International Airport,Krasnodar,RU,Matched
URMG,GRV,Akhmat Kadyrov Grozny International Airport,Grozny,RU,Matched
URML,MCX,Makhachkala Uytash International Airport,Makhachkala,RU,Matched
URMM,MRV,Mineralnye Vody Airport,Mineralnyye Vody,RU,Matched
URMN,NAL,Nalchik Airport,Nalchik,RU,Matched
URMO,OGZ,Vladikavkaz Beslan International Airport,Beslan,RU,Matched
URMS,IGT,Magas Airport,Sunzha,RU,Matched
URMT,STW,Stavropol Shpakovskoye Airport,Stavropol,RU,Matched
URSS,AER,Sochi International Airport,Sochi,RU,Matched
URWA,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,Matched
URWI,ESL,Elista Airport,Elista,RU,Matched
URWW,VOG,Volgograd International Airport,Volgograd,RU,Matched
UUBC,KLF,Grabtsevo Airport,Kaluga,RU,Matched
UUBD,,,,,Unmatched
UUBI,IWA,Ivanovo South Airport,Ivanovo,RU,Matched
UUBK,RYB,Staroselye Airport,Rybinsk,RU,Matched
UUBL,,,,,Unmatched
UUBM,,,,,Unmatched
UUBP,BZK,Bryansk International Airport,Bryansk,RU,Matched
UUBW,ZIA,Zhukovsky International Airport,Moscow,RU,Matched
UUDD,DME,Domodedovo International Airport,Moscow,RU,Matched
UUEE,SVO,Sheremetyevo International Airport,Moscow,RU,Matched
UUEM,KLD,Migalovo Air Base,Tver,RU,Matched
UUMO,,Ostafyevo International Airport,Moscow,RU,Matched
UUMT,,Tretyakovo Airport,Lukhovitsy,RU,Matched
UUMU,CKL,Chkalovskiy Air Base,Moscow,RU,Matched
UUOO,VOZ,Voronezh International Airport,Voronezh,RU,Matched
UUOT,TBW,Donskoye Airport,Tambov,RU,Matched
UUWE,,,,,Unmatched
UUWW,VKO,Vnukovo International Airport,Moscow,RU,Matched
UWGG,GOJ,Nizhny Novgorod / Strigino International Airport,Nizhny Novgorod,RU,Matched
UWKD,KZN,Kazan International Airport,Kazan,RU,Matched
UWKG,,Borisoglebskoye Airport,Kazan,RU,Matched
UWKJ,JOK,Yoshkar-Ola Airport,Yoshkar-Ola,RU,Matched
UWKS,CSY,Cheboksary Airport,Cheboksary,RU,Matched
UWPP,PEZ,Penza Airport,Penza,RU,Matched
UWPS,SKX,Saransk International Airport,Saransk,RU,Matched
UWSB,BWO,Balakovo Airport,Balakovo,RU,Matched
UWSG,GSV,Gagarin International Airport,Saratov,RU,Matched
XLLL,,,,,Unmatched
XLMV,,,,,Unmatched
XUBS,,,,,Unmatched
Z19O,,Wujah Al Hajar Air Base,Hamat,LB,Matched
