airport_icao,airport_iata,airport_name,airport_city,country_code,match_status
EGPB,LSI,Sumburgh Airport,"Lerwick, Shetland",GB,Matched
EGPC,WIC,Wick John O'Groats Airport,Wick,GB,Matched
EGPD,ABZ,Aberdeen International Airport,Aberdeen,GB,Matched
EGPE,INV,Inverness Airport,Inverness,GB,Matched
EGPF,GLA,Glasgow Airport,Glasgow,GB,Matched
EGPH,EDI,Edinburgh Airport,"Ingliston, Edinburgh",GB,Matched
EGPI,ILY,Islay Airport,"Isle of Islay, Argyll and Bute",GB,Matched
EGPK,PIK,Glasgow Prestwick Airport,"Prestwick, South Ayrshire",GB,Matched
EGPL,BEB,Benbecula Airport,Balivanich,GB,Matched
EGPN,DND,Dundee Airport,Dundee,GB,Matched
EGPO,SYY,Stornoway Airport,"Stornoway, Western Isles",GB,Matched
EGPU,TRE,Tiree Airport,"Balemartine, Argyll and Bute",GB,Matched
EGQL,ADX,Leuchars Station Airfield,"Leuchars, Fife",GB,Matched
EGQS,LMO,RAF Lossiemouth,"Lossiemouth, Moray",GB,Matched
EGSC,CBG,Cambridge City Airport,"Cambridge, Cambridgeshire",GB,Matched
EGSH,NWI,Norwich Airport,"Norwich, Norfolk",GB,Matched
EGSS,STN,London Stansted Airport,"London, Essex",GB,Matched
EGTC,,Cranfield Airport,"Cranfield, Central Bedfordshire",GB,Matched
EGTE,EXT,Exeter International Airport,"Exeter, Devon",GB,Matched
EGTK,OXF,London Oxford Airport,"Kidlington, Oxfordshire",GB,Matched
EGUB,BEX,RAF Benson,"Wallingford, Oxfordshire",GB,Matched
EGUL,LKZ,RAF Lakenheath,"Brandon, Suffolk",GB,Matched
EGUN,MHZ,RAF Mildenhall,"Bury Saint Edmunds, Suffolk",GB,Matched
EGUW,,Wattisham Airfield,"Ipswich, Suffolk",GB,Matched
EGVA,FFD,RAF Fairford,"Fairford, Gloucestershire",GB,Matched
EGVN,BZZ,RAF Brize Norton,"Carterton, Oxfordshire",GB,Matched
EGVO,ODH,RAF Odiham,"Hook, Hampshire",GB,Matched
EGWC,,RAF Cosford,"Cosford, Shropshire",GB,Matched
EGWU,NHT,RAF Northolt,"Northolt, Greater London",GB,Matched
EGXC,QCY,RAF Coningsby,"Lincoln, Lincolnshire",GB,Matched
EGXE,,RAF Leeming,"Northallerton, North Yorkshire",GB,Matched
EGXG,,Leeds East Airport,"Tadcaster, North Yorkshire",GB,Matched
EGXH,BEQ,RAF Honington,"Bury Saint Edmunds, Suffolk",GB,Matched
EGXP,,,,,Unmatched
EGXT,,RAF Wittering,"Peterborough, Cambridgeshire",GB,Matched
EGXW,WTN,RAF Waddington,"Lincoln, Lincolnshire",GB,Matched
EGXZ,,RAF Topcliffe,"Thirsk, North Yorkshire",GB,Matched
EGYD,,RAF Cranwell,"Sleaford, Lincolnshire",GB,Matched
EGYE,,RAF Barkston Heath,"Grantham, Lincolnshire",GB,Matched
EGYM,KNF,RAF Marham,"King's Lynn, Norfolk",GB,Matched
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,NL,Matched
EHBD,,Kempen Airport Budel,Weert,NL,Matched
EHBK,MST,Maastricht Aachen Airport,Maastricht,NL,Matched
EHDL,,Deelen Air Base,Arnhem,NL,Matched
EHEH,EIN,Eindhoven Airport,Eindhoven,NL,Matched
EHGG,GRQ,Groningen Airport Eelde,Groningen,NL,Matched
EHGR,GLZ,Gilze Rijen Air Base,Rijen,NL,Matched
EHKD,DHR,De Kooy Airfield / Den Helder Naval Air Station,Den Helder,NL,Matched
EHLE,LEY,Lelystad Airport,Lelystad,NL,Matched
EHLW,LWR,Leeuwarden Air Base,Leeuwarden,NL,Matched
EHRD,RTM,Rotterdam The Hague Airport,Rotterdam,NL,Matched
EHTW,ENS,Twente Airport,Enschede,NL,Matched
EHVK,UDE,Volkel Air Base,Uden,NL,Matched
EHWO,WOE,Woensdrecht Air Base,Hoogerheide,NL,Matched
EICK,ORK,Cork International Airport,Cork,IE,Matched
EICM,,Galway Airport,Galway,IE,Matched
EIDL,CFN,Donegal Airport,Donegal,IE,Matched
EIDW,DUB,Dublin Airport,Dublin,IE,Matched
EIKN,NOC,Ireland West Airport Knock,Charlestown,IE,Matched
EIKY,KIR,Kerry Airport,Farranfore,IE,Matched
EIME,,Casement Air Base,Baldonnel,IE,Matched
EINN,SNN,Shannon Airport,Shannon,IE,Matched
EISG,SXL,Sligo Airport,Sligo,IE,Matched
EIWF,WAT,Waterford Airport,Waterford,IE,Matched
EIWT,,Weston Airport,Leixlip,IE,Matched
EKAH,AAR,Aarhus Airport,Aarhus,DK,Matched
EKBI,BLL,Billund Airport,Billund,DK,Matched
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,DK,Matched
EKEB,EBJ,Esbjerg Airport,Esbjerg,DK,Matched
EKKA,KRP,Midtjyllands Airport / Air Base Karup,Karup,DK,Matched
EKMB,MRW,Lolland Falster Maribo Airport,Rødby,DK,Matched
EKOD,ODE,Odense Hans Christian Andersen Airport,Odense,DK,Matched
EKRK,RKE,Copenhagen Roskilde Airport,Roskilde,DK,Matched
EKRN,RNN,Bornholm Airport,Rønne,DK,Matched
EKSB,SGD,Sønderborg Airport,Sønderborg,DK,Matched
EKSN,CNL,Sindal Airport,Sindal,DK,Matched
EKSP,SKS,Skrydstrup Air Base,Vojens,DK,Matched
EKSV,SQW,Skive Airport,Skive,DK,Matched
EKTS,TED,Thisted Airport,Thisted,DK,Matched
EKVD,,Kolding Vamdrup Airfield,Kolding / Vamdrup,DK,Matched
EKVJ,STA,Stauning Vestjylland  Airport,Skjern,DK,Matched
EKYT,AAL,Aalborg Airport,Aalborg,DK,Matched
ELLX,LUX,Luxembourg-Findel International Airport,Luxembourg,LU,Matched
ENAL,AES,Ålesund Airport,Ålesund,NO,Matched
ENBN,BNN,"Brønnøysund Airport, Brønnøy",Brønnøy,NO,Matched
ENBO,BOO,Bodø Airport,Bodø,NO,Matched
ENBR,BGO,"Bergen Airport, Flesland",Bergen,NO,Matched
ENCN,KRS,Kristiansand Airport,Kristiansand(Kjevik),NO,Matched
ENDU,BDU,Bardufoss Airport,Målselv,NO,Matched
ENEV,EVE,Harstad/Narvik Airport,Evenes,NO,Matched
ENFG,,"Fagernes Airport, Leirin",Fagernes,NO,Matched
ENFL,FRO,Florø Airport,Florø,NO,Matched
ENGM,OSL,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,Matched
ENHD,HAU,"Haugesund Airport, Karmøy",Karmøy,NO,Matched
ENLK,LKN,Leknes Airport,Leknes,NO,Matched
ENMS,MJF,"Mosjøen Airport, Kjærstad",Mosjøen,NO,Matched
ENNO,NTB,Notodden Airport,Notodden,NO,Matched
ENOL,OLA,Ørland Airport,Ørland,NO,Matched
ENRA,MQN,"Mo i Rana Airport, Røssvoll",Mo i Rana,NO,Matched
ENRM,RVK,"Rørvik Airport, Ryum",Rørvik,NO,Matched
ENRO,RRS,Røros Airport,Røros,NO,Matched
ENRY,,"Moss Airport, Rygge",Oslo,NO,Matched
ENSH,SVJ,"Svolvær Airport, Helle",Svolvær,NO,Matched
ENSK,SKN,"Stokmarknes Airport, Skagen",Hadsel,NO,Matched
ENSN,,Skien Airport,Geiteryggen,NO,Matched
ENSO,SRP,"Stord Airport, Sørstokken",Leirvik,NO,Matched
ENST,SSJ,"Sandnessjøen Airport, Stokka",Alstahaug,NO,Matched
ENTO,TRF,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,Matched
ENVA,TRD,"Trondheim Airport, Værnes",Trondheim,NO,Matched
ENZV,SVG,"Stavanger Airport, Sola",Stavanger,NO,Matched
EPBY,BZG,Ignacy Jan Paderewski Bydgoszcz Airport,Bydgoszcz,PL,Matched
EPCE,,Cewice Naval Air Base,Siemirowice,PL,Matched
EPDE,,Deblin Military Air Base,Dęblin,PL,Matched
EPGD,GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,Matched
EPIR,,Inowroclaw Military Air Base,,PL,Matched
EPKK,KRK,Kraków John Paul II International Airport,Balice,PL,Matched
EPKS,,Krzesiny Military Air Base,Poznań,PL,Matched
EPKT,KTW,Katowice Wojciech Korfanty International Airport,Katowice,PL,Matched
EPLB,LUZ,Lublin Airport,Lublin,PL,Matched
EPLK,,Łask Air Base,Łask,PL,Matched
EPLL,LCJ,Łódź Władysław Reymont Airport,Łódź,PL,Matched
EPLY,,Leźnica Wielka Air Base,Leźnica Wielka,PL,Matched
EPMB,,Malbork Królewo Air Base,Królewo,PL,Matched
EPMI,,Miroslawiec Military Air Base,Mirosławiec,PL,Matched
EPMM,,Minsk Mazowiecki Military Air Base,,PL,Matched
EPMO,WMI,Warsaw Modlin Airport,Nowy Dwór Mazowiecki,PL,Matched
EPOK,,Oksywie Air Base / Gdynia-Kosakowo Airfield,Kosakowo,PL,Matched
EPPO,POZ,Poznań-Ławica Airport,Poznań,PL,Matched
EPPW,,Powidz Military Air Base,Powidz,PL,Matched
EPRA,RDO,Warsaw Radom Airport,Radom,PL,Matched
EPRZ,RZE,Rzeszów-Jasionka Airport,Jasionka,PL,Matched
EPSC,SZZ,Solidarity Szczecin–Goleniów Airport,Szczecin(Glewice),PL,Matched
EPSN,,Swidwin Military Air Base,,PL,Matched
EPSY,SZY,Olsztyn-Mazury Airport,Szymany,PL,Matched
EPTM,,Tomaszów Mazowiecki Military Air Base,Nowy Glinnik,PL,Matched
EPWA,WAW,Warsaw Chopin Airport,Warsaw,PL,Matched
EPWR,WRO,Copernicus Wrocław Airport,Wrocław,PL,Matched
EPZG,IEG,Zielona Góra-Babimost Airport,Nowe Kramsko,PL,Matched
ES-0109,,Folgueroles Airfield,Folgueroles,ES,Matched
ESCF,,Malmen Air Base,Linköping,SE,Matched
ESDF,RNB,Ronneby Airport,Ronneby,SE,Matched
ESFR,,Råda Air Base,Råda,SE,Matched
ESGG,GOT,Göteborg Landvetter Airport,Göteborg,SE,Matched
ESGJ,JKG,Jönköping Airport,Jönköping,SE,Matched
ESGP,GSE,Säve Airport,Göteborg,SE,Matched
ESGR,KVB,Skövde Airport,Skövde,SE,Matched
ESGT,THN,Trollhättan-Vänersborg Airport,Trollhättan,SE,Matched
ESIB,,Såtenäs Air Base,Såtenäs,SE,Matched
ESKK,KSK,Karlskoga Airport,Karlskoga,SE,Matched
ESKM,MXX,Mora Airport,Mora,SE,Matched
ESKN,NYO,Stockholm Skavsta Airport,Nyköping,SE,Matched
ESKS,SCR,Scandinavian Mountains Airport,Malung-Sälen,SE,Matched
ESMK,KID,Kristianstad Airport,Kristianstad,SE,Matched
ESMQ,KLR,Kalmar Airport,Kalmar,SE,Matched
ESMS,MMX,Malmö Sturup Airport,Malmö,SE,Matched
ESMT,HAD,Halmstad Airport,Halmstad,SE,Matched
ESMX,VXO,Växjö Kronoberg Airport,Växjö,SE,Matched
ESNK,KRF,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,Matched
ESNL,LYC,Lycksele Airport,Lycksele,SE,Matched
ESNN,SDL,Sundsvall-Härnösand Airport,Sundsvall/ Härnösand,SE,Matched
ESNO,OER,Örnsköldsvik Airport,Örnsköldsvik,SE,Matched
ESNS,SFT,Skellefteå Airport,Skellefteå,SE,Matched
ESNU,UME,Umeå Airport,Umeå,SE,Matched
ESNV,VHM,Vilhelmina South Lapland Airport,Vilhelmina,SE,Matched
ESNX,AJR,Arvidsjaur Airport,Arvidsjaur,SE,Matched
ESNY,SOO,Söderhamn Airport,Söderhamn,SE,Matched
ESNZ,OSD,Åre Östersund Airport,Östersund,SE,Matched
ESOE,ORB,Örebro Airport,Örebro,SE,Matched
ESOK,KSD,Karlstad Airport,Karlstad,SE,Matched
ESOW,VST,Stockholm Västerås Airport,Stockholm / Västerås,SE,Matched
ESPA,LLA,Luleå Airport,Luleå,SE,Matched
ESSA,ARN,Stockholm-Arlanda Airport,Stockholm,SE,Matched
